Source,Target
Plain Flour,Caster Sugar
Plain Flour,Butter
Plain Flour,Braeburn Apples
Plain Flour,Butter
Plain Flour,Demerara Sugar
Plain Flour,Blackberrys
Plain Flour,Cinnamon
Plain Flour,Ice Cream
Caster Sugar,Butter
Caster Sugar,Braeburn Apples
Caster Sugar,Butter
Caster Sugar,Demerara Sugar
Caster Sugar,Blackberrys
Caster Sugar,Cinnamon
Caster Sugar,Ice Cream
Butter,Braeburn Apples
Butter,Butter
Butter,Demerara Sugar
Butter,Blackberrys
Butter,Cinnamon
Butter,Ice Cream
Braeburn Apples,Butter
Braeburn Apples,Demerara Sugar
Braeburn Apples,Blackberrys
Braeburn Apples,Cinnamon
Braeburn Apples,Ice Cream
Butter,Demerara Sugar
Butter,Blackberrys
Butter,Cinnamon
Butter,Ice Cream
Demerara Sugar,Blackberrys
Demerara Sugar,Cinnamon
Demerara Sugar,Ice Cream
Blackberrys,Cinnamon
Blackberrys,Ice Cream
Cinnamon,Ice Cream
Chicken Thighs,Shallots
Chicken Thighs,Ginger
Chicken Thighs,Garlic Clove
Chicken Thighs,Cayenne Pepper
Chicken Thighs,Turmeric
Chicken Thighs,Cumin
Chicken Thighs,Coriander
Chicken Thighs,Fennel
Chicken Thighs,Tamarind Paste
Chicken Thighs,Coconut Milk
Chicken Thighs,Sugar
Chicken Thighs,Water
Shallots,Ginger
Shallots,Garlic Clove
Shallots,Cayenne Pepper
Shallots,Turmeric
Shallots,Cumin
Shallots,Coriander
Shallots,Fennel
Shallots,Tamarind Paste
Shallots,Coconut Milk
Shallots,Sugar
Shallots,Water
Ginger,Garlic Clove
Ginger,Cayenne Pepper
Ginger,Turmeric
Ginger,Cumin
Ginger,Coriander
Ginger,Fennel
Ginger,Tamarind Paste
Ginger,Coconut Milk
Ginger,Sugar
Ginger,Water
Garlic Clove,Cayenne Pepper
Garlic Clove,Turmeric
Garlic Clove,Cumin
Garlic Clove,Coriander
Garlic Clove,Fennel
Garlic Clove,Tamarind Paste
Garlic Clove,Coconut Milk
Garlic Clove,Sugar
Garlic Clove,Water
Cayenne Pepper,Turmeric
Cayenne Pepper,Cumin
Cayenne Pepper,Coriander
Cayenne Pepper,Fennel
Cayenne Pepper,Tamarind Paste
Cayenne Pepper,Coconut Milk
Cayenne Pepper,Sugar
Cayenne Pepper,Water
Turmeric,Cumin
Turmeric,Coriander
Turmeric,Fennel
Turmeric,Tamarind Paste
Turmeric,Coconut Milk
Turmeric,Sugar
Turmeric,Water
Cumin,Coriander
Cumin,Fennel
Cumin,Tamarind Paste
Cumin,Coconut Milk
Cumin,Sugar
Cumin,Water
Coriander,Fennel
Coriander,Tamarind Paste
Coriander,Coconut Milk
Coriander,Sugar
Coriander,Water
Fennel,Tamarind Paste
Fennel,Coconut Milk
Fennel,Sugar
Fennel,Water
Tamarind Paste,Coconut Milk
Tamarind Paste,Sugar
Tamarind Paste,Water
Coconut Milk,Sugar
Coconut Milk,Water
Sugar,Water
Butter,Bread
Butter,sultanas
Butter,Cinnamon
Butter,Milk
Butter,Double Cream
Butter,Eggs
Butter,Sugar
Butter,Nutmeg
Bread,sultanas
Bread,Cinnamon
Bread,Milk
Bread,Double Cream
Bread,Eggs
Bread,Sugar
Bread,Nutmeg
sultanas,Cinnamon
sultanas,Milk
sultanas,Double Cream
sultanas,Eggs
sultanas,Sugar
sultanas,Nutmeg
Cinnamon,Milk
Cinnamon,Double Cream
Cinnamon,Eggs
Cinnamon,Sugar
Cinnamon,Nutmeg
Milk,Double Cream
Milk,Eggs
Milk,Sugar
Milk,Nutmeg
Double Cream,Eggs
Double Cream,Sugar
Double Cream,Nutmeg
Eggs,Sugar
Eggs,Nutmeg
Sugar,Nutmeg
Aubergine,Onion
Aubergine,Tomatoes
Aubergine,Garlic
Aubergine,Green Chili
Aubergine,Red Chilli powder
Aubergine,Oil
Aubergine,Coriander Leaves
Aubergine,Salt
Onion,Tomatoes
Onion,Garlic
Onion,Green Chili
Onion,Red Chilli powder
Onion,Oil
Onion,Coriander Leaves
Onion,Salt
Tomatoes,Garlic
Tomatoes,Green Chili
Tomatoes,Red Chilli powder
Tomatoes,Oil
Tomatoes,Coriander Leaves
Tomatoes,Salt
Garlic,Green Chili
Garlic,Red Chilli powder
Garlic,Oil
