Source,Target
Plain Flour , Caster Sugar 
Plain Flour , Butter 
Plain Flour , Braeburn Apples 
Plain Flour , Butter 
Plain Flour , Demerara Sugar 
Plain Flour , Blackberrys 
Plain Flour , Cinnamon 
Plain Flour , Ice Cream 
 Caster Sugar , Butter 
 Caster Sugar , Braeburn Apples 
 Caster Sugar , Butter 
 Caster Sugar , Demerara Sugar 
 Caster Sugar , Blackberrys 
 Caster Sugar , Cinnamon 
 Caster Sugar , Ice Cream 
 Butter , Braeburn Apples 
 Butter , Butter 
 Butter , Demerara Sugar 
 Butter , Blackberrys 
 Butter , Cinnamon 
 Butter , Ice Cream 
 Braeburn Apples , Butter 
 Braeburn Apples , Demerara Sugar 
 Braeburn Apples , Blackberrys 
 Braeburn Apples , Cinnamon 
 Braeburn Apples , Ice Cream 
 Butter , Demerara Sugar 
 Butter , Blackberrys 
 Butter , Cinnamon 
 Butter , Ice Cream 
 Demerara Sugar , Blackberrys 
 Demerara Sugar , Cinnamon 
 Demerara Sugar , Ice Cream 
 Blackberrys , Cinnamon 
 Blackberrys , Ice Cream 
 Cinnamon , Ice Cream 
Chicken Thighs , Challots 
Chicken Thighs , Ginger 
Chicken Thighs , Garlic Clove 
Chicken Thighs , Cayenne Pepper 
Chicken Thighs , Turmeric 
Chicken Thighs , Cumin 
Chicken Thighs , Coriander 
Chicken Thighs , Fennel 
Chicken Thighs , Tamarind Paste 
Chicken Thighs , Coconut Milk 
Chicken Thighs , Sugar 
Chicken Thighs , Water 
 Challots , Ginger 
 Challots , Garlic Clove 
 Challots , Cayenne Pepper 
 Challots , Turmeric 
 Challots , Cumin 
 Challots , Coriander 
 Challots , Fennel 
 Challots , Tamarind Paste 
 Challots , Coconut Milk 
 Challots , Sugar 
 Challots , Water 
 Ginger , Garlic Clove 
 Ginger , Cayenne Pepper 
 Ginger , Turmeric 
 Ginger , Cumin 
 Ginger , Coriander 
 Ginger , Fennel 
 Ginger , Tamarind Paste 
 Ginger , Coconut Milk 
 Ginger , Sugar 
 Ginger , Water 
 Garlic Clove , Cayenne Pepper 
 Garlic Clove , Turmeric 
 Garlic Clove , Cumin 
 Garlic Clove , Coriander 
 Garlic Clove , Fennel 
 Garlic Clove , Tamarind Paste 
 Garlic Clove , Coconut Milk 
 Garlic Clove , Sugar 
 Garlic Clove , Water 
 Cayenne Pepper , Turmeric 
 Cayenne Pepper , Cumin 
 Cayenne Pepper , Coriander 
 Cayenne Pepper , Fennel 
 Cayenne Pepper , Tamarind Paste 
 Cayenne Pepper , Coconut Milk 
 Cayenne Pepper , Sugar 
 Cayenne Pepper , Water 
 Turmeric , Cumin 
 Turmeric , Coriander 
 Turmeric , Fennel 
 Turmeric , Tamarind Paste 
 Turmeric , Coconut Milk 
 Turmeric , Sugar 
 Turmeric , Water 
 Cumin , Coriander 
 Cumin , Fennel 
 Cumin , Tamarind Paste 
 Cumin , Coconut Milk 
 Cumin , Sugar 
 Cumin , Water 
 Coriander , Fennel 
 Coriander , Tamarind Paste 
 Coriander , Coconut Milk 
 Coriander , Sugar 
 Coriander , Water 
 Fennel , Tamarind Paste 
 Fennel , Coconut Milk 
 Fennel , Sugar 
 Fennel , Water 
 Tamarind Paste , Coconut Milk 
 Tamarind Paste , Sugar 
 Tamarind Paste , Water 
 Coconut Milk , Sugar 
 Coconut Milk , Water 
 Sugar , Water 
butter , bread 
butter , sultanas 
butter , cinnamon 
butter , milk 
butter , double cream 
butter , eggs 
butter , sugar 
butter , nutmeg 
 bread , sultanas 
 bread , cinnamon 
 bread , milk 
 bread , double cream 
 bread , eggs 
 bread , sugar 
 bread , nutmeg 
 sultanas , cinnamon 
 sultanas , milk 
 sultanas , double cream 
 sultanas , eggs 
 sultanas , sugar 
 sultanas , nutmeg 
 cinnamon , milk 
 cinnamon , double cream 
 cinnamon , eggs 
 cinnamon , sugar 
 cinnamon , nutmeg 
 milk , double cream 
 milk , eggs 
 milk , sugar 
 milk , nutmeg 
 double cream , eggs 
 double cream , sugar 
 double cream , nutmeg 
 eggs , sugar 
 eggs , nutmeg 
 sugar , nutmeg 
Aubergine , Onion 
Aubergine , Tomatoes 
Aubergine , Garlic 
Aubergine , Green Chili 
Aubergine , Red Chili Powder 
Aubergine , Oil 
Aubergine , Coriander Leaves 
